"resp.id";"ques";"alt";"Price";"RAM";"Memory";"Processor";"Weight";"ScreenSize";"choice"
1;1;1;"1";"16GB";"512GB";"i7";"1kg";"12";0
1;1;2;"0.7";"32GB";"512GB";"i9";"1kg";"16";0
1;1;3;"1";"8GB";"256GB";"i9";"0.8kg";"14";1
1;1;4;"0.7";"8GB";"512GB";"i3";"1.2kg";"12";0
1;2;1;"1.5";"8GB";"1T";"i5";"1.5kg";"12";0
1;2;2;"1";"8GB";"256GB";"i9";"1.2kg";"14";0
1;2;3;"0.7";"16GB";"256GB";"i3";"0.8kg";"13";0
1;2;4;"0.7";"8GB";"256GB";"i3";"1kg";"14";1
1;3;1;"2";"8GB";"126GB";"i7";"1kg";"12";1
1;3;2;"1";"16GB";"256GB";"i3";"1kg";"12";0
1;3;3;"1.5";"32GB";"512GB";"i9";"1kg";"14";0
1;3;4;"1";"4GB";"256GB";"i7";"1kg";"12";0
1;4;1;"2";"4GB";"126GB";"i5";"1kg";"14";0
1;4;2;"0.7";"8GB";"512GB";"i3";"1.2kg";"13";0
1;4;3;"1";"8GB";"1T";"i7";"0.8kg";"13";1
1;4;4;"1.5";"8GB";"256GB";"i3";"0.8kg";"13";0
1;5;1;"0.7";"32GB";"256GB";"i5";"1kg";"16";0
1;5;2;"2";"4GB";"256GB";"i3";"1kg";"16";1
1;5;3;"1";"4GB";"126GB";"i7";"0.8kg";"12";0
1;5;4;"1.5";"16GB";"256GB";"i9";"0.8kg";"12";0
1;6;1;"1.5";"8GB";"512GB";"i9";"1.5kg";"14";0
1;6;2;"2";"8GB";"1T";"i7";"1.5kg";"16";1
1;6;3;"2";"32GB";"256GB";"i9";"1.2kg";"16";0
1;6;4;"0.7";"16GB";"512GB";"i7";"1.2kg";"14";0
1;7;1;"2";"8GB";"126GB";"i7";"1.5kg";"14";1
1;7;2;"1";"8GB";"512GB";"i9";"1.2kg";"16";0
1;7;3;"2";"8GB";"512GB";"i7";"1kg";"12";0
1;7;4;"0.7";"16GB";"256GB";"i5";"0.8kg";"13";0
1;8;1;"0.7";"32GB";"1T";"i7";"1kg";"14";0
1;8;2;"1";"32GB";"256GB";"i3";"0.8kg";"16";0
1;8;3;"1";"4GB";"1T";"i7";"1.5kg";"16";1
1;8;4;"0.7";"16GB";"1T";"i9";"0.8kg";"13";0
1;9;1;"1";"8GB";"256GB";"i7";"1.5kg";"14";1
1;9;2;"2";"8GB";"256GB";"i3";"1.2kg";"12";0
1;9;3;"1.5";"4GB";"126GB";"i7";"1.5kg";"14";0
1;9;4;"1.5";"32GB";"126GB";"i5";"0.8kg";"14";0
1;10;1;"1.5";"4GB";"256GB";"i5";"0.8kg";"13";0
